Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran,srno
2020-03-01,79932,74,36,1694,130,130,84,978,1
2020-03-02,80136,98,40,2036,191,159,120,1501,2
2020-03-03,80261,118,51,2502,204,196,165,2336,3
2020-03-04,80386,149,86,3089,288,262,222,2922,4
2020-03-05,80537,217,116,3858,380,482,259,3513,5
2020-03-06,80690,262,164,4636,656,670,400,4747,6
2020-03-07,80770,402,207,5883,959,799,500,5823,7
2020-03-08,80823,518,274,7375,1136,1040,673,6566,8
2020-03-09,80860,583,322,9172,1219,1176,1073,7161,9
2020-03-10,80887,959,384,10149,1794,1457,1695,8042,10
2020-03-11,80921,1281,459,12462,2293,1908,2277,9000,11
2020-03-12,80932,1663,459,12462,2293,2078,2277,10075,12
2020-03-13,80945,2179,802,17660,3681,3675,5232,11364,13
2020-03-14,80977,2727,1144,21157,4496,4585,6391,12729,14
2020-03-15,81003,3499,1145,24747,4532,5795,7798,13938,15
2020-03-16,81033,4632,1551,27980,6683,7272,9942,14991,16
2020-03-17,81058,6421,1960,31506,7715,9257,11748,16169,17
2020-03-18,81102,7783,2642,35713,9124,12327,13910,17361,18
2020-03-19,81156,13677,2716,41035,10970,15320,17963,18407,19
2020-03-20,81250,19100,4014,47021,12758,19848,20410,19644,20
2020-03-21,81305,25489,5067,53578,14463,22213,25374,20610,21
2020-03-22,81435,33276,5745,59138,16243,24873,28768,21638,22
2020-03-23,81498,43847,6726,63927,20123,29056,35136,23049,23
2020-03-24,81591,53740,8164,69176,22622,32986,39885,24811,24
2020-03-25,81661,65778,9640,74386,25600,37323,49515,27017,25
2020-03-26,81782,83836,11812,80589,29551,43938,57786,29406,26
2020-03-27,81897,101657,14745,86498,33402,50871,65719,32332,27
